index	id	firstname	surname	born	died	bornCountry	diedCountry	gender	year	category
155	55	Cecil Frank	Powell	12/5/1903	8/9/1969	United Kingdom	Italy	male	1950.0	physics
156	275	Elias James	Corey	7/12/1928	0000-00-00	USA		male	1990.0	chemistry
157	53	Patrick Maynard Stuart	Blackett	11/18/1897	7/13/1974	United Kingdom	United Kingdom	male	1948.0	physics
158	733	Daniel L.	McFadden	7/29/1937	0000-00-00	USA		male	2000.0	economics
159	732	James J.	Heckman	4/19/1944	0000-00-00	USA		male	2000.0	economics
160	191	Irving	Langmuir	01/31/1881	8/16/1957	USA	USA	male	1932.0	chemistry
161	29	Karl Manne Georg	Siegbahn	12/03/1886	9/26/1978	Sweden	Sweden	male	1924.0	physics
162	366	Joshua	Lederberg	5/23/1925	2/2/2008	USA	USA	male	1958.0	medicine
163	384	Charles Brenton	Huggins	9/22/1901	1/12/1997	Canada	USA	male	1966.0	medicine
164	63	Willis Eugene	Lamb	7/12/1913	5/15/2008	USA	USA	male	1955.0	physics
165	422	Roger W.	Sperry	8/19/1913	4/17/1994	USA	USA	male	1981.0	medicine
166	397	Earl W.	Sutherland, Jr.	11/19/1915	3/9/1974	USA	USA	male	1971.0	medicine
167	359	Axel Hugo Theodor	Theorell	7/6/1903	8/15/1982	Sweden	Sweden	male	1955.0	medicine
168	325	Thomas Hunt	Morgan	09/25/1866	12/4/1945	USA	USA	male	1933.0	medicine
169	352	Max	Theiler	01/30/1899	8/11/1972	South Africa	USA	male	1951.0	medicine
170	332	Albert	von Szent-Gy_rgyi Nagyrpolt	09/16/1893	10/22/1986	Austria-Hungary (now Hungary)	USA	male	1937.0	medicine
171	216	Hermann	Staudinger	03/23/1881	9/8/1965	Germany	West Germany (now Germany)	male	1953.0	chemistry
172	216	Hermann	Staudinger	03/23/1881	9/8/1965	Germany	West Germany (now Germany)	male	1953.0	chemistry
173	927	Yoshinori	Ohsumi	0000/00/00	0000-00-00	Japan		male	2016.0	medicine
174	371	Georg	von B_k_sy	06/03/1899	6/13/1972	Hungary	USA	male	1961.0	medicine
175	16	Wilhelm	Wien	01/13/1864	8/30/1928	Prussia (now Russia)	Germany	male	1911.0	physics
176	309	Jules	Bordet	06/13/1870	4/6/1961	Belgium	Belgium	male	1919.0	medicine
177	363	Daniel	Bovet	3/23/1907	4/8/1992	Switzerland	Italy	male	1957.0	medicine
178	707	Ronald H.	Coase	12/29/1910	9/2/2013	United Kingdom	USA	male	1991.0	economics
179	223	Jaroslav	Heyrovsky	12/20/1890	3/27/1967	Austria-Hungary (now Czech Republic)	Czechoslovakia	male	1959.0	chemistry
