title,duration,rating,stars,votes
RRR,187 min,8.0,"['S.S. Rajamouli', '| ', '    Stars:', 'N.T. Rama Rao Jr., ', 'Ram Charan Teja, ', 'Ajay Devgn, ', 'Alia Bhatt']","107,203"
Arcane,41 min,9.0,"['Hailee Steinfeld, ', 'Kevin Alejandro, ', 'Jason Spisak, ', 'Terri Douglas']","196,697"
The Lørenskog Disappearance,,6.1,[],668
The Lord of the Rings: The Two Towers,179 min,8.8,"['Peter Jackson', '| ', '    Stars:', 'Elijah Wood, ', 'Ian McKellen, ', 'Viggo Mortensen, ', 'Orlando Bloom']","1,642,708"
All Quiet on the Western Front,147 min,8.3,"['Edward Berger', '| ', '    Stars:', 'Daniel Brühl, ', 'Albrecht Schuch, ', 'Sebastian Hülk, ', 'Anton von Lucke']",199
Mr. Harrigan's Phone,104 min,,"['John Lee Hancock', '| ', '    Stars:', 'Kirby Howell-Baptiste, ', 'Donald Sutherland, ', 'Jaeden Martell, ', 'Joe Tippett']",
American Psycho,102 min,7.6,"['Mary Harron', '| ', '    Stars:', 'Christian Bale, ', 'Justin Theroux, ', 'Josh Lucas, ', 'Bill Sage']","598,117"
The Hobbit: An Unexpected Journey,169 min,7.8,"['Peter Jackson', '| ', '    Stars:', 'Martin Freeman, ', 'Ian McKellen, ', 'Richard Armitage, ', 'Andy Serkis']","820,021"
Kleo,44 min,7.5,"['Jella Haase, ', 'Dimitrij Schaad, ', 'Julius Feldmeier, ', 'Vincent Redetzki']","5,517"
Riverdale,45 min,6.6,"['Lili Reinhart, ', 'Camila Mendes, ', 'Cole Sprouse, ', 'K.J. Apa']","143,861"
Sons of Anarchy,45 min,8.6,"['Charlie Hunnam, ', 'Katey Sagal, ', 'Mark Boone Junior, ', 'Kim Coates']","294,616"
Mad Men,47 min,8.7,"['Jon Hamm, ', 'Elisabeth Moss, ', 'Vincent Kartheiser, ', 'January Jones']","237,030"
The Flash,43 min,7.6,"['Grant Gustin, ', 'Candice Patton, ', 'Danielle Panabaker, ', 'Carlos Valdes']","344,187"
Archer,22 min,8.6,"['H. Jon Benjamin, ', 'Judy Greer, ', 'Amber Nash, ', 'Chris Parnell']","153,880"
Dahmer - Monster: The Jeffrey Dahmer Story,534 min,8.5,"['Evan Peters, ', 'Richard Jenkins, ', 'Molly Ringwald, ', 'Niecy Nash']","5,580"
Mr. Robot,49 min,8.6,"['Rami Malek, ', 'Christian Slater, ', 'Carly Chaikin, ', 'Martin Wallström']","383,470"
That '70s Show,22 min,8.1,"['Topher Grace, ', 'Laura Prepon, ', 'Mila Kunis, ', 'Danny Masterson']","169,768"
You,45 min,7.7,"['Penn Badgley, ', 'Victoria Pedretti, ', 'Ambyr Childers, ', 'Elizabeth Lail']","234,218"
Look Both Ways,110 min,6.3,"['Wanuri Kahiu', '| ', '    Stars:', 'Lili Reinhart, ', 'Danny Ramirez, ', 'Aisha Dee, ', 'Jaden Tolliver']","14,313"
365 Days,114 min,3.3,"['Barbara Bialowas, ', 'Tomasz Mandes', '| ', '    Stars:', 'Anna-Maria Sieklucka, ', 'Michele Morrone, ', 'Bronislaw Wroclawski, ', 'Otar Saralidze']","89,071"
I Used to Be Famous,104 min,6.6,"['Eddie Sternberg', '| ', '    Stars:', 'Ed Skrein, ', 'Eleanor Matsuura, ', 'Eoin Macken, ', 'Leo Long']","2,633"
Titanic,194 min,7.9,"['James Cameron', '| ', '    Stars:', 'Leonardo DiCaprio, ', 'Kate Winslet, ', 'Billy Zane, ', 'Kathy Bates']","1,158,746"
Bridgerton,60 min,7.3,"['Nicola Coughlan, ', 'Luke Thompson, ', 'Jonathan Bailey, ', 'Bessie Carter']","133,119"
Sherlock,88 min,9.1,"['Benedict Cumberbatch, ', 'Martin Freeman, ', 'Una Stubbs, ', 'Rupert Graves']","913,816"
Dexter,53 min,8.7,"['Michael C. Hall, ', 'Jennifer Carpenter, ', 'David Zayas, ', 'James Remar']","720,792"
New Girl,22 min,7.7,"['Zooey Deschanel, ', 'Jake Johnson, ', 'Max Greenfield, ', 'Hannah Simone']","221,781"
The Expanse,60 min,8.5,"['Steven Strait, ', 'Dominique Tipper, ', 'Wes Chatham, ', 'Shohreh Aghdashloo']","151,611"
Purple Hearts,122 min,6.7,"['Elizabeth Allen Rosenbaum', '| ', '    Stars:', 'Sofia Carson, ', 'Nicholas Galitzine, ', 'Chosen Jacobs, ', 'John Harlan Kim']","32,797"
The Gentlemen,113 min,7.8,"['Guy Ritchie', '| ', '    Stars:', 'Matthew McConaughey, ', 'Charlie Hunnam, ', 'Michelle Dockery, ', 'Jeremy Strong']","331,508"
The Good Doctor,41 min,8.1,"['Freddie Highmore, ', 'Hill Harper, ', 'Richard Schiff, ', 'Christina Chang']","92,641"
Downton Abbey,58 min,8.7,"['Hugh Bonneville, ', 'Phyllis Logan, ', 'Elizabeth McGovern, ', 'Brendan Coyle']","204,875"
Extraordinary Attorney Woo,75 min,8.9,"['Park Eun-bin, ', 'Kang Tae-oh, ', 'Kang Ki-young, ', 'Jeon Bae-soo']","9,538"
Smallville,60 min,7.5,"['Tom Welling, ', 'Michael Rosenbaum, ', 'Allison Mack, ', 'Kristin Kreuk']","127,295"
Star Trek: The Next Generation,44 min,8.7,"['Patrick Stewart, ', 'Brent Spiner, ', 'Jonathan Frakes, ', 'LeVar Burton']","119,655"
BoJack Horseman,25 min,8.8,"['Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Aaron Paul']","152,649"
Love Death & Robots,15 min,8.4,"['Fred Tatasciore, ', 'Scott Whyte, ', 'Nolan North, ', 'Noshir Dalal']","165,153"
Money Heist,70 min,8.2,"['Úrsula Corberó, ', 'Álvaro Morte, ', 'Itziar Ituño, ', 'Pedro Alonso']","469,640"
Orange Is the New Black,59 min,8.1,"['Taylor Schilling, ', 'Danielle Brooks, ', 'Taryn Manning, ', 'Emma Myles']","300,354"
Jurassic Park,127 min,8.2,"['Steven Spielberg', '| ', '    Stars:', 'Sam Neill, ', 'Laura Dern, ', 'Jeff Goldblum, ', 'Richard Attenborough']","978,402"
Prison Break,44 min,8.3,"['Dominic Purcell, ', 'Wentworth Miller, ', 'Amaury Nolasco, ', 'Robert Knepper']","529,304"
Billions,60 min,8.4,"['Paul Giamatti, ', 'Damian Lewis, ', 'Maggie Siff, ', 'David Costabile']","93,451"
Once Upon a Time,60 min,7.7,"['Ginnifer Goodwin, ', 'Jennifer Morrison, ', 'Lana Parrilla, ', 'Robert Carlyle']","223,549"
Titans,45 min,7.6,"['Brenton Thwaites, ', 'Anna Diop, ', 'Ryan Potter, ', 'Teagan Croft']","98,315"
The 100,43 min,7.6,"['Eliza Taylor, ', 'Bob Morley, ', 'Marie Avgeropoulos, ', 'Isaiah Washington']","248,827"
Jaws,124 min,8.1,"['Steven Spielberg', '| ', '    Stars:', 'Roy Scheider, ', 'Robert Shaw, ', 'Richard Dreyfuss, ', 'Lorraine Gary']","600,404"
The Catholic School,106 min,5.8,"['Stefano Mordini', '| ', '    Stars:', 'Benedetta Porcaroli, ', 'Giulio Pranno, ', 'Emanuele Maria Di Stefano, ', 'Giulio Fochetti']","1,536"
South Park,22 min,8.7,"['Trey Parker, ', 'Matt Stone, ', 'Isaac Hayes, ', 'Mona Marshall']","366,394"
Spartacus,55 min,8.5,"['Andy Whitfield, ', 'Lucy Lawless, ', 'Manu Bennett, ', 'Daniel Feuerriegel']","241,105"
Clueless,97 min,6.9,"['Amy Heckerling', '| ', '    Stars:', 'Alicia Silverstone, ', 'Stacey Dash, ', 'Brittany Murphy, ', 'Paul Rudd']","216,233"
Chesapeake Shores,42 min,7.5,"['Meghan Ory, ', 'Barbara Niven, ', 'Laci J Mailey, ', 'Emilie Ullerup']","7,676"
Demon Slayer: Kimetsu no Yaiba,24 min,8.7,"['Natsuki Hanae, ', 'Zach Aguilar, ', 'Abby Trott, ', 'Yoshitsugu Matsuoka']","97,968"
The Queen's Gambit,60 min,8.6,"['Anya Taylor-Joy, ', 'Chloe Pirrie, ', 'Bill Camp, ', 'Marcin Dorocinski']","432,644"
Pretty Little Liars,44 min,7.4,"['Troian Bellisario, ', 'Ashley Benson, ', 'Lucy Hale, ', 'Shay Mitchell']","166,548"
Mindhunter,60 min,8.6,"['Jonathan Groff, ', 'Holt McCallany, ', 'Anna Torv, ', 'Hannah Gross']","281,506"
Murder She Wrote,50 min,7.1,"['Angela Lansbury, ', 'William Windom, ', 'Ron Masak, ', 'Louis Herthum']","24,323"
From,52 min,7.6,"['Scott McCord, ', 'Harold Perrineau, ', 'Catalina Sandino Moreno, ', 'Eion Bailey']","18,826"
Spiderhead,106 min,5.4,"['Joseph Kosinski', '| ', '    Stars:', 'Chris Hemsworth, ', 'Miles Teller, ', 'Jurnee Smollett, ', 'Mark Paguio']","52,102"
CSI: Crime Scene Investigation,60 min,7.7,"['Laurence Fishburne, ', 'Marg Helgenberger, ', 'George Eads, ', 'Eric Szmanda']","83,833"
Evil,42 min,7.7,"['Katja Herbers, ', 'Mike Colter, ', 'Aasif Mandvi, ', 'Michael Emerson']","26,248"
The Lincoln Lawyer,60 min,7.7,"['Manuel Garcia-Rulfo, ', 'Neve Campbell, ', 'Becki Newton, ', 'Angus Sampson']","35,356"
Arrested Development,22 min,8.7,"['Jason Bateman, ', 'Michael Cera, ', 'Portia de Rossi, ', 'Will Arnett']","302,834"
Heartland,45 min,8.4,"['Amber Marshall, ', 'Shaun Johnston, ', 'Michelle Morgan, ', 'Chris Potter']","16,702"
Mo,30 min,7.6,"['Mohammed Amer, ', 'Teresa Ruiz, ', 'Omar Elba, ', 'Farah Bsieso']","5,261"
Inventing Anna,65 min,6.8,"['Anna Chlumsky, ', 'Julia Garner, ', 'Arian Moayed, ', 'Katie Lowes']","65,185"
It,135 min,7.3,"['Andy Muschietti', '| ', '    Stars:', 'Bill Skarsgård, ', 'Jaeden Martell, ', 'Finn Wolfhard, ', 'Sophia Lillis']","537,240"
Narcos,49 min,8.8,"['Pedro Pascal, ', 'Wagner Moura, ', 'Boyd Holbrook, ', 'Alberto Ammann']","416,307"
The Sinner,45 min,7.9,"['Bill Pullman, ', 'Jessica Hecht, ', 'Dohn Norwood, ', 'Adam LeFevre']","120,241"
Homeland,55 min,8.3,"['Claire Danes, ', 'Mandy Patinkin, ', 'Damian Lewis, ', 'Rupert Friend']","339,482"
The Haunting of Hill House,572 min,8.6,"['Michiel Huisman, ', 'Carla Gugino, ', 'Henry Thomas, ', 'Elizabeth Reaser']","237,198"
Doc Martin,46 min,8.4,"['Martin Clunes, ', 'Caroline Catz, ', 'Ian McNeice, ', 'Joe Absolom']","16,147"
Hawaii Five-0,42 min,7.4,"[""Alex O'Loughlin, "", 'Scott Caan, ', 'Taylor Wily, ', 'Daniel Dae Kim']","73,530"
Star Trek: The Original Series,50 min,8.4,"['William Shatner, ', 'Leonard Nimoy, ', 'DeForest Kelley, ', 'Nichelle Nichols']","83,805"
The Next 365 Days,112 min,2.7,"['Barbara Bialowas, ', 'Tomasz Mandes', '| ', '    Stars:', 'Anna-Maria Sieklucka, ', 'Michele Morrone, ', 'Simone Susinna, ', 'Magdalena Lamparska']","5,495"
Don't Look Up,138 min,7.2,"['Adam McKay', '| ', '    Stars:', 'Leonardo DiCaprio, ', 'Jennifer Lawrence, ', 'Meryl Streep, ', 'Cate Blanchett']","525,424"
Murdoch Mysteries,48 min,8.2,"['Yannick Bisson, ', 'Helene Joy, ', 'Thomas Craig, ', 'Jonny Harris']","14,381"
The Good Wife,43 min,8.4,"['Julianna Margulies, ', 'Chris Noth, ', 'Josh Charles, ', 'Matt Czuchry']","75,557"
Shadow and Bone,60 min,7.6,"['Jessie Mei Li, ', 'Ben Barnes, ', 'Archie Renaux, ', 'Freddy Carter']","82,657"
Sex/Life,45 min,5.4,"['Sarah Shahi, ', 'Mike Vogel, ', 'Adam Demos, ', 'Margaret Odette']","21,107"
Gladiator,155 min,8.5,"['Ridley Scott', '| ', '    Stars:', 'Russell Crowe, ', 'Joaquin Phoenix, ', 'Connie Nielsen, ', 'Oliver Reed']","1,481,531"
