title,duration,rating,stars,votes
Under Arrest,,7.4,[],308
Shepherds and Butchers,102 min,6.8,"['Oliver Schmitz', '| ', '    Stars:', 'Steve Coogan, ', 'Andrea Riseborough, ', 'Garion Dowds, ', 'Eduan van Jaarsveldt']","3,388"
Cunk on Earth,,7.9,"['Diane Morgan, ', 'Douglas Hedley, ', 'John Man, ', 'Nigel Spivey']",64
H2O: Mermaid Adventures,25 min,5.5,"['Sonja Ball, ', 'Holly Gauthier-Frankel, ', 'Thor Bishopric, ', 'Angela Galuppo']",205
Invasion 1897,113 min,3.4,"['Lancelot Oduwa Imasuen', '| ', '    Stars:', 'Murtaza Arif, ', 'Sandra Idubor, ', 'Ehigiator Joy Nosa, ', 'Mike Omoregbee']",105
Caste,,,['Ava DuVernay'],
The Last Word,40 min,7.0,"['Anke Engelke, ', 'Thorsten Merten, ', 'Johannes Zeiler, ', 'Nina Gummich']",979
Suzzana: Buried Alive,125 min,5.5,"['Rocky Soraya, ', 'Anggy Umbara', '| ', '    Stars:', 'Luna Maya, ', 'Herjunot Ali, ', 'T. Rifnu Wikana, ', 'Verdi Solaiman']",948
Monty Python: The Meaning of Live,90 min,7.6,"['Roger Graef, ', 'James Rogan', '| ', '    Stars:', 'Eric Idle, ', 'Terry Gilliam, ', 'John Cleese, ', 'Michael Palin']",618
A Cut Above,90 min,4.8,"['Rodrigo França', '| ', '    Stars:', ""Lucas 'Koka' Penteado, "", 'Solange Couto, ', 'Serjão Loroza, ', 'Jeniffer Dias']",155
Audible,39 min,6.7,"['Matthew Ogens', '| ', '    Star:', 'Amaree McKenstry-Hall']","2,395"
Tayo the Little Bus,11 min,5.3,"['Patricia Kalis, ', 'Jul Kohler, ', 'Aramis Merlin, ', 'Tea Wagner']",157
Lady Killer,,,"['Diablo Cody', '| ', '    Star:', 'Blake Lively']",
The Martha Mitchell Effect,40 min,6.8,"['Anne Alvergue, ', 'Debra McClutchy', '| ', '    Stars:', 'Martha Mitchell, ', 'Dwight Chapin, ', 'Connie Chung, ', 'Piper Dankworth']",413
Byron Baes,40 min,2.7,[],507
Mama's Boy,102 min,6.1,"['Amr Salah', '| ', '    Stars:', 'Hesham Maged, ', 'Shikoo, ', 'Dalal Abdulaziz, ', 'Noor Kadri']","1,105"
Citation,151 min,6.1,"['Kunle Afolayan', '| ', '    Stars:', 'Jimmy Jean-Louis, ', 'Ini Edo, ', 'Temi Otedola, ', 'Joke Silva']",981
Revolutionary Sisters,70 min,6.2,"['Yun Ju-sang, ', 'Eun-hee Hong, ', 'Hye-bin Jeon, ', 'Won-Hee Go']",30
X: Past Is Present,105 min,5.2,"['Hemant Gaba, ', 'Pratim D. Gupta, ', 'Sudhish Kamath, ', 'Nalan Kumarasamy, ', 'Anu Menon, ', 'Sandeep Mohan, ', 'Qaushiq Mukherjee, ', 'Rajshree Ojha, ', 'Raja Sen, ', 'Abhinav Shiv Tiwari, ', 'Suparn Varma', '| ', '    Stars:', 'Rajat Kapoor, ', 'Radhika Apte, ', 'Bidita Bag, ', 'Piaa Bajpai']",715
LUV,94 min,5.9,"['Sheldon Candis', '| ', '    Stars:', 'Common, ', 'Michael Rainey Jr., ', 'Dennis Haysbert, ', 'Danny Glover']","2,192"
Followers,40 min,6.4,"['Miki Nakatani, ', 'Elaiza Ikeda, ', 'Mari Natsuki, ', 'Yuka Itaya']",576
All About the Washingtons,25 min,4.6,"['Joseph Simmons, ', 'Justine Simmons, ', 'Kiana Ledé, ', 'Nathan Anderson']",731
Cupcake & Dino: General Services,23 min,7.6,"['Mark Forward, ', 'Joris Jarsky, ', 'Mark Little, ', 'Julie Lemieux']",749
The Larva Island Movie,89 min,5.1,"['Byoung-Wook Ahn', '| ', '    Stars:', 'Hong Bum-ki, ', 'Kang Shi Hyun, ', 'Eddy Lee']",668
Fairy gone,23 min,5.8,"['Kana Ichinose, ', 'Ayaka Fukuhara, ', 'Ayaka Suwa, ', 'Ian Sinclair']",364
You've Fallen for Me,65 min,7.2,"['Yong-hwa Jung, ', 'Park Shin-Hye, ', 'Chang-ui Song, ', 'Yi-hyeon So']","1,899"
Win the Wilderness: Alaska,60 min,6.9,['Nicolas Tennant'],767
Deepa & Anoop,25 min,8.6,"['Pavan Bharaj, ', 'Ulka Simone Mohanty, ', 'Adam Nurada, ', 'Ana Sani']",42
Rajma Chawal,117 min,5.7,"['Leena Yadav', '| ', '    Stars:', 'Amyra Dastur, ', 'Rishi Kapoor, ', 'Sheeba Chaddha, ', 'Mukesh Chhabra']","1,884"
Deuces,87 min,5.8,"['Jamal Hill', '| ', '    Stars:', 'Larenz Tate, ', 'Meagan Good, ', 'Rotimi, ', 'Rick Gonzalez']","1,020"
7 Years,77 min,6.7,"['Roger Gual', '| ', '    Stars:', 'Juana Acosta, ', 'Alex Brendemühl, ', 'Paco León, ', 'Manuel Morón']","4,997"
How Sarah Got Her Wings,88 min,5.5,"['Edmund Entin, ', 'Gary Entin', '| ', '    Stars:', 'Lindsey Gort, ', 'Derek Theler, ', 'Melanie Liburd, ', 'Jeremy Luke']","1,791"
John Leguizamo's Latin History for Morons,91 min,7.4,"['Aram Rappaport', '| ', '    Star:', 'John Leguizamo']",856
Naruto SD: Rock Lee & His Ninja Pals,24 min,7.2,"['Yôichi Masukawa, ', 'Yukari Tamura, ', 'Kôichi Tôchika, ', 'Tôru Ohkawa']",914
Mostly Sunny,83 min,5.4,"['Dilip Mehta', '| ', '    Stars:', 'Sunny Leone, ', 'Daniel Weber, ', 'Sundeep Vohra, ', 'Kiran Bedi']",759
More Than Friends,70 min,6.7,"['Seong-wu Ong, ', 'Ye-Eun Shin, ', 'Eun-Jin Ahn, ', 'Baek Soo-min']",444
El cartel 2 - La guerra total,,6.8,"['Diego Cadavid, ', 'Robinson Díaz, ', 'Patricia Manterola, ', 'Carolina Guerra']",238
The Task,94 min,4.2,"['Alex Orwell', '| ', '    Stars:', 'Alexandra Staden, ', 'Victor McGuire, ', 'Sean McConaghy, ', 'Adam Rayner']","3,527"
3 Geezers!,81 min,3.3,"['Michelle Schumacher', '| ', '    Stars:', 'J.K. Simmons, ', 'Tim Allen, ', 'Scott Caan, ', 'Basil Hoffman']",769
Puff: Wonders of the Reef,62 min,7.2,"['Nick Robinson', '| ', '    Star:', 'Rose Byrne']",837
Bhangra Paa Le,131 min,6.2,"['Sneha Taurani', '| ', '    Stars:', 'Sunny Kaushal, ', 'Rukshar Dhillon, ', 'Shriya Pilgaonkar, ', 'Parmeet Sethi']",372
El Conde,,,"['Pablo Larraín', '| ', '    Stars:', 'Alfredo Castro, ', 'Paula Luchsinger, ', 'Gloria Münchmeyer, ', 'Jaime Vadell']",
Triad Princess,,6.7,"['Eugenie Liu, ', 'Jasper Liu, ', 'Olivia Castanho, ', 'Sing Hom']",737
Welcome to the Family,,6.7,"['Melani Olivares, ', 'Ivan Massagué, ', 'Yolanda Ramos, ', 'Nao Albet']",468
Thriller,87 min,3.6,"['Dallas Jackson', '| ', '    Stars:', 'Jessica Allain, ', 'Luke Tennie, ', 'Mitchell Edwards, ', 'Paige Hurd']","1,223"
Milestone,98 min,6.6,"['Ivan Ayr', '| ', '    Stars:', 'Mohinder Gujral, ', 'Pavitra Mattoo, ', 'Lakshvir Saran, ', 'Suvinder Vicky']",654
Zoolander: Super Model,84 min,4.9,"['Aaron Augenblick', '| ', '    Stars:', 'Ben Stiller, ', 'Owen Wilson, ', 'Christine Taylor, ', 'Jerry Stiller']",168
Queer Eye: Germany,45 min,7.2,"['David Jakobs, ', 'Leni Bolt, ', 'Aljosha Muttardi, ', 'Jan-Henrik Scheper-Stuke']","1,143"
K,24 min,7.0,"['Sam Riegel, ', 'Stephanie Sheh, ', 'Johnny Yong Bosch, ', 'Todd Haberkorn']","2,388"
Shaun the Sheep: Adventures from Mossy Bottom,14 min,8.0,"['Andy Nyman, ', 'Justin Fletcher, ', 'Simon Greenall, ', 'John Sparkes']",592
Ungli,114 min,5.8,"[""Renzil D'Silva"", '| ', '    Stars:', 'Sanjay Dutt, ', 'Emraan Hashmi, ', 'Kangana Ranaut, ', 'Randeep Hooda']","3,951"
Have You Ever Seen Fireflies?,113 min,6.1,"['Andaç Haznedaroglu', '| ', '    Stars:', 'Ecem Erkek, ', 'Devrim Yakut, ', 'Engin Alkan, ', 'Merve Dizdar']","5,072"
How to Fix a Drug Scandal,211 min,7.0,"[""Shannon O'Neill, "", 'Karl Kenzler, ', 'Paul Solotaroff, ', 'Luke Ryan']","3,371"
Say Goodnight to the Bad Guys,47 min,7.9,"['Mike Clattenburg', '| ', '    Stars:', 'John Paul Tremblay, ', 'Robb Wells, ', 'John Dunsworth, ', 'Patrick Roach']","3,668"
Our Godfather,92 min,6.8,"['Mark Franchetti, ', 'Andrew Meier', '| ', '    Stars:', 'Tommaso Buscetta, ', 'Paul Castellano, ', 'Thomas Bilotti, ', 'Rudy Giuliani']","1,587"
Monty Python: Almost the Truth - The Lawyer's Cut,54 min,8.1,"['Eric Idle, ', 'John Cleese, ', 'Michael Palin, ', 'Terry Gilliam']","1,783"
Òlòtūré,106 min,5.5,"['Kenneth Gyang', '| ', '    Stars:', 'Ada Ameh, ', 'Beverly Osu, ', 'Blossom Chukwujekwu, ', 'Bukola Oladipupo']",810
Remember You,60 min,7.5,"['Paopetch Charoensook, ', 'Kemisara Paladesh, ', 'Wiwid Bovornkiratikajorn, ', 'Pat Chatborirak']",87
Bill Burr: I'm Sorry You Feel That Way,80 min,8.2,"['Jay Karas', '| ', '    Star:', 'Bill Burr']","8,296"
I Do,91 min,6.4,"['Glenn Gaylord', '| ', '    Stars:', 'Jamie-Lynn Sigler, ', 'Alicia Witt, ', 'Maurice Compte, ', 'David W. Ross']","1,178"
River's Edge,118 min,6.2,"['Isao Yukisada', '| ', '    Stars:', 'Fumi Nikaidô, ', 'Ryô Yoshizawa, ', 'Aoi Morikawa, ', 'Shûhei Uesugi']",975
Young Famous & African,45 min,4.7,"['Khanyi Mbau, ', 'Diamond Platnumz, ', 'Annie Macauley, ', 'Andile Ncube']",435
Country Queen,60 min,5.2,"['Melissa Kiplagat, ', 'Melvin Alusa, ', 'Nini Wacera, ', 'Blessing Lungaho']",220
A Land Imagined,95 min,6.2,"['Siew Hua Yeo', '| ', '    Stars:', 'Peter Yu, ', 'Xiaoyi Liu, ', 'Yue Guo, ', 'Jack Tan']","1,325"
Keith Richards: Under the Influence,81 min,7.1,"['Morgan Neville', '| ', '    Stars:', 'Keith Richards, ', 'Anthony DeCurtis, ', 'Steve Jordan, ', 'Tom Waits']","3,418"
Dealer,,6.1,"['Jean-Toussaint Bernard, ', 'Abdramane Diakite, ', 'Mohamed Boudouh, ', 'Sébastien Houbani']",685
Hasta el cielo,,,"['Luis Tosar, ', 'Álvaro Rico, ', 'Asia Ortega, ', 'Fernando Cayo']",
The Devil Punisher,68 min,5.8,"['Shuo-Han Wang, ', 'Anson Chen, ', 'Issac Yiu, ', 'Yu-Wei Shao']",169
Spark: A Burning Man Story,90 min,6.2,"['Steve Brown, ', 'Jessie Deeter', '| ', '    Stars:', 'Harley K. Dubois, ', 'Marian Goodell, ', 'Larry Harvey, ', 'John Law']",576
The Great Father,151 min,6.9,"['Haneef Adeni', '| ', '    Stars:', 'Mammootty, ', 'Arya, ', 'Sneha, ', 'Anikha Surendran']","7,717"
Di-eo Ma-i Peu-ren-jeu,70 min,8.2,"['Hyun-Jung Go, ', 'Youn Yuh-jung, ', 'Hye-ja Kim, ', 'Kim Young-ok']",393
The Chanting Revisited,105 min,4.6,"['Rizal Mantovani', '| ', '    Stars:', 'Sandrinna Michelle, ', 'Aurélie Moeremans, ', 'Fero Walandouw, ', 'Nena Rosier']",693
Krishna and His Leela,125 min,5.6,"['Ravikanth Perepu', '| ', '    Stars:', 'Sidhu Jonnalagadda, ', 'Shraddha Srinath, ', 'Seerat Kapoor, ', 'Shalini Vadnikatti']","1,603"
League of Legends Origins,77 min,6.5,"['Leslie Iwerks', '| ', '    Stars:', 'Nick Allen, ', ""Imane 'Pokimane' Anys, "", 'David Banks, ', 'Brandon Beck']","1,020"
Kill Me If You Dare,104 min,4.4,"['Senol Sönmez', '| ', '    Stars:', 'Murat Boz, ', 'Seda Bakan, ', 'Açelya Topaloglu, ', 'Özgür Emre Yildirim']","1,804"
Taxi Girl,93 min,5.0,"['Michele Massimo Tarantini', '| ', '    Stars:', 'Edwige Fenech, ', 'Aldo Maccione, ', 'Michele Gammino, ', ""Gianfranco D'Angelo""]",290
Carmel: Who Killed Maria Marta?,229 min,7.0,"['Diego Molina Pico, ', 'Carlos Carrascosa, ', 'Horacio García Belsunce, ', 'John Hurtig']","2,515"
Lady Tamara,225 min,4.2,"['Tamara Falcó, ', 'Íñigo Onieva, ', 'Juan Avellaneda, ', 'Isabel Preysler']",85
Boi,110 min,5.0,"['Jorge M. Fontana', '| ', '    Stars:', 'Bernat Quintana, ', 'Lisa, ', 'Fina Rius, ', 'Adrian Pang']",692
Champion,,,"['Déja J. Bowens, ', 'Malcolm Kamulete, ', 'Nadine Marshall, ', 'Ray Fearon']",
Levius,25 min,7.0,"['Sean Burgos, ', 'Zach Aguilar, ', 'Todd Haberkorn, ', 'Julia McIlvaine']",554
A Little Thing Called First Love,,7.9,"['Jinmai Zhao, ', 'Runze Wang, ', 'Kuan-lin Lai, ', 'Bowen Wang']",410
The Big Day,40 min,4.7,"['Divya Singh, ', 'Daniel Bauer, ', 'Prerna Gupta, ', 'Kunwar Sood']",347
BreadCrumbs,88 min,3.2,"['Mike Nichols', '| ', '    Stars:', 'Dan Shaked, ', 'Marianne Hagan, ', 'Jim J. Barnes, ', 'Zoe Sloane']",874
Like in the Movies,,8.5,"['Ian Pangilinan, ', 'Paolo Pangilinan, ', 'Adrienne Vergara, ', 'Yesh Burce']",840
Alien TV,,6.1,"['Julie Lemieux, ', 'Rob Tinkler, ', 'Rupert Degas, ', 'John Cleland']",310
The Way Home,89 min,6.0,"['Lance W. Dreesen', '| ', '    Stars:', 'Matt Lintz, ', 'Dean Cain, ', 'Pierce Gagnon, ', 'Sonny Shroyer']",746
Rape Zombie: Lust of the Dead 2,67 min,3.4,"['Naoyuki Tomomatsu', '| ', '    Stars:', 'Hayato Abe, ', 'Yui Aikawa, ', 'Maki Aoyama, ', 'Asami']",437
Godzilla: Planet of the Monsters,89 min,6.0,"['Hiroyuki Seshita, ', 'Kôbun Shizuno', '| ', '    Stars:', 'Mamoru Miyano, ', 'Takahiro Sakurai, ', 'Kana Hanazawa, ', 'Tomokazu Sugita']","8,649"
Taylor Swift: Reputation Stadium Tour,125 min,8.4,"['Paul Dugdale', '| ', '    Stars:', 'Taylor Swift, ', 'Matt Billingslea, ', 'Camila Cabello, ', 'Toshi Davidson']","5,544"
You Animal!,73 min,6.4,"['Avid Liongoren', '| ', '    Stars:', 'Angelica Panganiban, ', 'Sam Milby, ', 'Robin Padilla, ', 'Empoy Marquez']",278
The 43,,7.1,['Paco Ignacio Taibo II'],151
Cult of the Cobra,82 min,5.7,"['Francis D. Lyon', '| ', '    Stars:', 'Faith Domergue, ', 'Richard Long, ', 'Marshall Thompson, ', 'Kathleen Hughes']","1,372"
Hot Gimmick: Girl Meets Boy,119 min,4.4,"['Yûki Yamato', '| ', '    Stars:', 'Miona Hori, ', 'Mizuki Itagaki, ', 'Kaisei Kamimura, ', 'Shôtarô Mamiya']",473
El Pepe: A Supreme Life,74 min,7.1,"['Emir Kusturica', '| ', '    Star:', 'Pepe Mujica']","1,922"
Pickpockets,108 min,5.4,"['Peter Webber', '| ', '    Stars:', 'Emiliano Pernía, ', 'Carlos Bardem, ', 'Dubán Andrés Prado, ', 'Natalia Reyes']","1,211"
Pool Party,92 min,5.2,"['Timothy M. Snell', '| ', '    Stars:', 'Justin T. Bowler, ', 'Sarah Horvath, ', 'Kenzo Lee, ', 'Meredith Giangrande']","1,113"
Daughters of Destiny,60 min,8.6,"['Shilpa Anthony Raj, ', 'Mariam George, ', 'Abraham George, ', 'Ajit George']",935
The Ape,81 min,5.9,"['Jesper Ganslandt', '| ', '    Stars:', 'Olle Sarri, ', 'Eva Rexed, ', 'Françoise Joyce, ', 'Sean Pietrulewicz']","1,795"
Crazy Awesome Teachers,101 min,6.1,"['Sammaria Simanjuntak', '| ', '    Stars:', 'Gading Marten, ', 'Boris Bokir, ', 'Kevin Ardillova, ', 'Ibnu Jamil']",460
The Sensuous Assassin,78 min,5.6,"['Léonard Keigel', '| ', '    Stars:', 'Romy Schneider, ', 'Maurice Ronet, ', 'Gabriele Tinti, ', 'Simone Bach']",456
Rising Phoenix,105 min,8.1,"['Ian Bonhôte, ', 'Peter Ettedgui', '| ', '    Stars:', 'Jean-Baptiste Alaize, ', 'Ryley Batt, ', 'Ellie Cole, ', 'Philip Craven']","1,704"
Jiva!,50 min,5.6,"['Sivuyile Ngesi, ', 'Ntuthuzelo Grootboom, ', 'Tony Kgoroge, ', 'Noxolo Dlamini']",272
Grass is Greener,97 min,7.1,"['Fab 5 Freddy', '| ', '    Stars:', 'Harry J. Anslinger, ', 'Louis Armstrong, ', 'B-Real, ', 'Asha Bandele']","1,377"
The Search,,5.6,"['Dario Yazbek Bernal, ', 'Diana Bovio, ', 'Regina Blandón, ', 'Adrian Ladron']",639
Invisible,87 min,6.0,"['Pablo Giorgelli', '| ', '    Stars:', 'Mora Arenillas, ', 'Mara Bestelli, ', 'Diego Cremonesi, ', 'Jorge Waldhorn']",787
Saving Capitalism,73 min,6.8,"['Jacob Kornbluth, ', 'Sari Gilman', '| ', '    Stars:', 'Robert Reich, ', 'Darvin Bentlage, ', 'Annie Presley, ', 'Guadalupe']","3,252"
Trivia Quest,9 min,5.7,['Jonathan Melo'],213
Best Leftovers Ever!,,5.6,"['Jackie Tohn, ', 'David So, ', 'Rosemary Shrager, ', 'Jim Purvis']",538
Drifting Dragons,23 min,6.0,"['Sora Amamiya, ', 'Makoto Furukawa, ', 'Kana Hanazawa, ', 'Sôma Saitô']",608
Along Came Jones,90 min,6.4,"['Stuart Heisler', '| ', '    Stars:', 'Gary Cooper, ', 'Loretta Young, ', 'William Demarest, ', 'Dan Duryea']","2,163"
Amend: The Fight for America,,7.8,"['Will Smith, ', 'Bryan Stevenson, ', 'Larry Wilmore, ', 'Samira Wiley']","1,395"
Hold Your Breath: The Ice Dive,40 min,6.5,"['Ian Derry', '| ', '    Stars:', 'Jean-Charles Granjon, ', 'Maria Hellinger, ', 'Antero Joki, ', 'Tapani Launonen']",597
The Inheritor,112 min,6.3,"['Philippe Labro', '| ', '    Stars:', 'Jean-Paul Belmondo, ', 'Carla Gravina, ', 'Jean Rochefort, ', 'Charles Denner']","1,203"
Winnetou: The Last Shot,93 min,6.6,"['Harald Reinl', '| ', '    Stars:', 'Lex Barker, ', 'Pierre Brice, ', 'Rik Battaglia, ', 'Ralf Wolter']","2,612"
A Clean Sweep,,,"['Seo Dong-Wook, ', 'Jung Eui-Yoon, ', 'Yoo Hee-Kwan, ', 'Lee Hong-Ku']",
Dad Wanted,102 min,5.7,"['Javier Colinas, ', 'Valeria Zunzun', '| ', '    Stars:', 'Mauricio Argüelles, ', 'Moisés Arizmendi, ', 'Luis Arrieta, ', 'Bere Becerra']","1,095"
Cat Burglar,12 min,6.6,"['James Bowman', '| ', '    Stars:', 'Alan Lee, ', 'James Adomian, ', 'Trevor Devall']",477
The Deadly Affair,,8.2,"['Jirayu Tangsrisuk, ', 'Yeena Salas, ', 'Pilaiporn Supinchompoo, ', 'Thidarut Pruethong']",17
Barracuda Queens,,,"['Eddie Nathan Eriksson, ', 'Izabella Scorupco, ', 'Johannes Kuhnke, ', 'Meliz Karlge']",
A New York Christmas Wedding,88 min,5.3,"['Otoja Abit', '| ', '    Stars:', 'Chris Noth, ', 'Nia Fairweather, ', 'Chris Trousdale, ', 'Otoja Abit']","1,135"
All Hail King Julien: Exiled,23 min,7.4,"['Danny Jacobs, ', 'Andy Richter, ', 'Kevin Michael Richardson, ', 'Jeff Bennett']",586
Transformers: Cyberverse,11 min,6.6,"['Jeremy Levy, ', 'Jake Foushee, ', 'Sophia Isabella, ', 'Ryan Andes']",377
The Intent,104 min,4.3,"['Femi Oyeniran, ', 'Kalvadour Peterson', '| ', '    Stars:', 'Dylan Duffus, ', 'Tayo Jarrett, ', 'Shone Romulus, ', 'Jade Asha']",922
Hashoter Hatov,30 min,7.5,"['Yuval Semo, ', 'Liora Rivlin, ', 'Guy Loel, ', 'Yigal Adika']",392
Stash House,99 min,4.7,"['Eduardo Rodriguez', '| ', '    Stars:', 'Sean Faris, ', 'Briana Evigan, ', 'Dolph Lundgren, ', 'Jon Huertas']","2,776"
Happiness Ever After,99 min,4.4,"['Thabang Moleya', '| ', '    Stars:', 'Daniel Etim Effiong, ', 'Nambitha Ben-Mazwi, ', 'Khanyi Mbau, ', 'Richard Lukunku']",168
Lego Bionicle: The Journey to One,22 min,5.4,"['Nolan Balzer, ', 'Paolo Bryant, ', 'Jacqui Fox, ', 'Quinn Greene']",188
Mo,105 min,6.6,"['Brian Scott Lederman', '| ', '    Stars:', 'Erik Per Sullivan, ', 'Margo Martindale, ', 'Adam LeFevre, ', 'Brian Scott Lederman']",218
The Carer,89 min,6.5,"['János Edelényi', '| ', '    Stars:', 'Maitland Chandler, ', 'Ruth Posner, ', 'Coco König, ', 'Selina Cadell']","1,390"
Kardec,110 min,6.1,"['Wagner de Assis', '| ', '    Stars:', 'Leonardo Medeiros, ', 'Sandra Corveloni, ', 'Christian Baltauss, ', 'Daniel Barcellos']","1,570"
Kevin Hart: Let Me Explain,75 min,6.6,"['Leslie Small, ', 'Tim Story', '| ', '    Stars:', 'Kevin Hart, ', 'Harry Ratchford, ', ""Will 'Spank' Horton, "", 'Joey Wells']","9,080"
Frank and Cindy,102 min,6.1,"['G.J. Echternkamp', '| ', '    Stars:', 'Rene Russo, ', 'Oliver Platt, ', 'Johnny Simmons, ', 'Jane Levy']",873
Dave Chappelle: 8:46,27 min,8.1,"['Steven Bognar, ', 'Julia Reichert', '| ', '    Star:', 'Dave Chappelle']","3,358"
Leyla Everlasting,112 min,3.7,"['Ezel Akay', '| ', '    Stars:', 'Haluk Bilginer, ', 'Demet Akbag, ', 'Elçin Sangu, ', 'Firat Tanis']","7,551"
Pinkfong and Baby Shark's Space Adventure,66 min,5.0,"['Byeon Hee-sun, ', 'Jinyoung Jung, ', 'Nayoon Kim', '| ', '    Stars:', 'Jo Kyoung-i, ', ""Colleen O'Shaughnessey, "", 'Connor Andrade, ', 'Kim Seo-Yeong']",89
Japan Sinks: People of Hope,,6.6,"['Jun Kunimura, ', 'Shun Oguri, ', ""Ken'ichi Matsuyama, "", 'Renji Ishibashi']",538
Trailer Park Boys: Don't Legalize It,95 min,7.3,"['Mike Clattenburg', '| ', '    Stars:', 'John Paul Tremblay, ', 'Robb Wells, ', 'Mike Smith, ', 'John Dunsworth']","4,763"
How to Be a Man,85 min,6.7,"['Chadd Harbold', '| ', '    Stars:', 'Gavin McInnes, ', 'Liam Aiken, ', 'Megan Neuringer, ', 'Marisa Redanty']","3,304"
Brahman Naman,95 min,5.5,"['Qaushiq Mukherjee', '| ', '    Stars:', 'Shashank Arora, ', 'Tanmay Dhanania, ', 'Chaitanya Varad, ', 'Vaishwath Shankar']","1,915"
Holiday Rush,92 min,4.9,"['Leslie Small', '| ', '    Stars:', 'Romany Malco, ', 'Sonequa Martin-Green, ', 'Darlene Love, ', 'Amarr']","2,740"
Oh Hello on Broadway,104 min,7.7,"['Michael John Warren, ', 'Alex Timbers', '| ', '    Stars:', 'Nick Kroll, ', 'John Mulaney, ', 'Steve Martin, ', 'Matthew Broderick']","3,161"
Supermensch,85 min,7.4,"['Beth Aala, ', 'Mike Myers', '| ', '    Stars:', 'Shep Gordon, ', 'Sylvester Stallone, ', 'Michael Douglas, ', 'Alice Cooper']","3,307"
The Last Heist,84 min,3.6,"['Mike Mendez', '| ', '    Stars:', 'Henry Rollins, ', 'Torrance Coombs, ', 'Victoria Pratt, ', 'Michael Aaron Milligan']","2,632"
Larva Pendant,33 min,5.4,"['Young-cheol Joe', '| ', '    Stars:', 'Hong Bum-ki, ', 'Kang Si Hyun']",69
Confessions of a Drug Addicted High School Teacher,,,['Paul Wesley'],
The Death and Life of Marsha P. Johnson,105 min,7.2,"['David France', '| ', '    Stars:', 'Kurt Wolfe, ', 'Sue Yacka, ', 'Catherine Shugrue Dos Santos, ', 'Victoria Cruz']","2,992"
Revisions,36 min,5.9,"['Bryce Papenbrook, ', 'Reba Buhr, ', 'Kyle McCarley, ', 'Cherami Leigh']",623
Dovlatov,126 min,6.4,"['Aleksey German Jr.', '| ', '    Stars:', 'Milan Maric, ', 'Danila Kozlovskiy, ', 'Helena Sujecka, ', 'Eva Gerr']","2,027"
Untitled Charlie Brooker/Netflix Project,,,"['Kumail Nanjiani, ', 'Lisa Kudrow, ', 'Diane Morgan, ', 'Leslie Jones']",
The Chosen,88 min,3.5,"['Ben Jehoshua', '| ', '    Stars:', 'Kian Lawley, ', 'Elizabeth Keener, ', 'Angelica Cassidy, ', 'Chris Gann']","2,149"
Secrets of War,95 min,7.1,"['Dennis Bots', '| ', '    Stars:', 'Maas Bronkhuyzen, ', 'Joes Brauers, ', 'Michael Nierse, ', 'Tonko Bossen']","1,950"
Transformers: BotBots,25 min,6.9,"['Deven Christian Mack, ', 'Lisa Norton, ', 'Louisa Zhu, ', 'James Hartnett']",84
Hollywood & Wine,95 min,3.5,"['Matt Berman, ', 'Kevin P. Farley', '| ', '    Stars:', 'Pamela Anderson, ', 'Debrae Barensfeld, ', 'Colleen Camp, ', 'Tracy Dali']",429
Battle,95 min,5.9,"['Katarina Launing', '| ', '    Stars:', 'Lisa Teige, ', 'Fabian Svegaard Tapia, ', 'Vebjørn Enger, ', 'Stig R. Amdam']","4,300"
Super-Normal,,,"['Luke Evans, ', 'Daisy Ridley, ', 'Josh Gad']",
Todas las veces que nos enamoramos,,,"['Georgina Amorós, ', 'Franco Masini, ', 'Albert Salazar, ', 'Kyle Scudder']",
Dave Chappelle: The Bird Revelation,49 min,7.8,"['Stan Lathan', '| ', '    Star:', 'Dave Chappelle']","10,143"
Lost & Found Music Studios,30 min,6.4,"['Levi Randall, ', 'Alex Zaichkowski, ', 'Keara Graves, ', 'Shane Harte']",648
Iron Man and Captain America: Heroes United,71 min,5.5,"['Eric Radomski, ', 'Leo Riley', '| ', '    Stars:', 'Adrian Pasdar, ', 'Roger Craig Smith, ', 'Fred Tatasciore, ', 'David Kaye']","1,788"
Restaurants on the Edge,,6.8,"['Elias, ', 'Karin Bohn, ', 'Nick Liberato, ', 'Dennis Prescott']","1,003"
Heeramandi,,,"['Aditi Rao Hydari, ', 'Sonakshi Sinha, ', 'Manisha Koirala']",
Amor con fianza,,5.7,"['Mónica Naranjo, ', 'Stephanie Cardenas, ', 'Elias, ', 'Laura Almagro']",270
Sea of Love,10 min,8.8,"['Kelly B. Jones, ', 'Anchasa Bhurichayawarodom, ', 'Guy William Burnett, ', 'Tarakorn Visessintop']",40
Transformers: Rescue Bots Academy,11 min,6.2,"['Todd Perlmutter, ', 'Courtney Shaw, ', 'Ashleigh Chrisena Ricci, ', 'Haley Carter Chapel']",108
Dark Summer,81 min,4.2,"['Paul Solet', '| ', '    Stars:', 'Keir Gilchrist, ', 'Stella Maeve, ', 'Maestro Harrell, ', 'Gracie Gillam']","3,354"
Aliens: Zone of Silence,79 min,3.4,"['Andy Fowler', '| ', '    Stars:', 'Sarah Hester, ', 'Peter Gesswein, ', 'Jed Maheu, ', 'Vince Tula']",577
Louis C.K. 2017,74 min,7.6,"['Louis C.K.', '| ', '    Stars:', 'Louis C.K., ', 'Joe List']","10,306"
